ID,Prediction
0,0.25
1,0.18125
2,0.1
3,0.19375000000000003
4,0.54375
5,0.48125000000000007
6,0.1375
7,2.89375
8,2.21875
9,0.15625
10,0.55
11,0.0
12,0.6125
13,0.20625
14,0.35625000000000007
15,0.21250000000000002
16,0.16875
17,0.125
18,0.025
19,0.70625
20,0.23125
21,0.0875
22,0.63125
23,0.125
24,1.0125
25,0.75
26,0.325
27,0.1
28,0.5812499999999999
29,1.3125
30,0.0
31,0.00625
32,0.3
33,0.29375
34,0.14375000000000002
35,0.525
36,0.1875
37,0.775
38,0.49374999999999997
39,0.5437500000000001
40,0.16249999999999998
41,0.00625
42,0.1875
43,0.66875
44,0.2
45,0.0375
46,0.16875
47,0.4625
48,1.0187499999999998
49,0.7687499999999999
50,1.0375
51,0.25625
52,0.6874999999999999
53,0.41250000000000003
54,1.15
55,0.28125
56,0.925
57,0.075
58,0.11875
59,0.16875
60,0.15625
61,0.38125
62,0.18125000000000002
63,0.043750000000000004
64,0.48750000000000004
65,0.20625
66,0.30625
67,0.043750000000000004
68,0.07500000000000001
69,0.2625
70,1.7625
71,1.66875
72,0.125
73,0.20625000000000002
74,0.11249999999999999
75,0.40625
76,0.0375
77,0.33125
78,0.043750000000000004
79,0.24375
80,0.53125
81,0.11250000000000002
82,0.13125
83,0.36250000000000004
84,0.33125
85,0.19375
86,0.7562500000000001
87,0.00625
88,0.15
89,0.9
90,0.1
91,0.01875
92,0.40625
93,0.28125
94,0.04375
95,0.1
96,0.7375
97,0.0125
98,0.0125
99,1.3687500000000001
100,0.0
101,1.1437500000000003
102,0.4125
103,0.04375
104,0.03125
105,0.04375
106,0.08125
107,0.7437499999999999
108,0.54375
109,0.20625
110,0.39375000000000004
111,0.0625
112,0.575
113,0.13125
114,2.16875
115,0.0625
116,0.025
117,0.19375
118,0.49375
119,0.25
120,0.825
121,0.175
122,0.5375
123,0.9625
124,0.8125
125,0.33125
126,0.07500000000000001
127,0.0875
128,0.3375
129,0.4125000000000001
130,0.05
131,1.3250000000000002
132,0.40625
133,0.05625
134,0.14375
135,1.1875
136,0.275
137,0.0
138,0.15000000000000002
139,0.3125
140,0.1375
141,0.09375
142,0.1125
143,0.0625
144,0.5625
145,0.16875
146,1.11875
147,0.2625
148,0.025
149,0.64375
150,0.59375
151,0.1875
152,0.5125
153,0.0125
154,2.15625
155,0.09375
156,0.22499999999999998
157,0.08750000000000001
158,0.0875
159,0.15625
160,0.2125
161,0.049999999999999996
162,0.53125
163,0.056249999999999994
164,0.15
165,0.08125
166,0.1625
167,0.85
168,0.21875
169,0.05
170,0.037500000000000006
171,0.21875
172,0.175
173,1.3937500000000003
174,0.11249999999999999
175,0.025
176,0.48749999999999993
177,0.05
178,1.01875
179,0.0
180,0.46875
181,1.0750000000000002
182,0.07500000000000001
183,0.05625
184,0.4
185,0.16875
186,0.30625
187,0.7
188,0.275
189,0.1625
190,1.83125
191,0.14375
192,0.95
193,0.08750000000000001
194,0.29375
195,0.4375
196,0.21250000000000002
197,0.00625
198,0.28750000000000003
199,0.03125
200,0.037500000000000006
201,0.08125
202,0.5125000000000001
203,0.0875
204,0.1875
205,0.00625
206,0.18125
207,0.35624999999999996
208,0.36875
209,0.64375
210,0.1125
211,2.575
212,0.18125
213,0.26875
214,0.20625
215,0.00625
216,0.6375
217,0.025
218,0.4375
219,0.58125
220,0.30625
221,2.58125
222,0.06875
223,1.78125
224,0.125
225,0.09999999999999999
226,0.325
227,0.16875
228,0.1125
229,0.0
230,0.075
231,1.025
232,0.25
233,0.15000000000000002
234,0.6
235,0.6625
236,0.05
237,0.1
238,1.46875
239,2.26875
240,0.15000000000000002
241,0.1875
242,0.10624999999999998
243,0.19375
244,0.2
245,0.3375
246,0.26875
247,0.36249999999999993
248,0.21875
249,0.06875
250,1.3937499999999998
251,0.1875
252,0.2
253,0.0125
254,0.26875
255,0.043750000000000004
256,0.7937500000000001
257,0.6
258,3.06875
259,0.21875
260,0.28125
261,0.4375
262,0.13125
263,0.08125
264,0.29375
265,0.15000000000000002
266,0.6875
267,0.42500000000000004
268,0.325
269,0.39375
270,0.75
271,0.29375
272,0.10625
273,0.15625
274,0.325
275,0.06874999999999999
276,0.8625
277,0.88125
278,0.0625
279,0.03125
280,0.2875
281,0.06875
282,0.10625
283,0.1
284,0.16875
285,0.75
286,0.15625
287,0.05
288,0.049999999999999996
289,0.3125
290,0.23124999999999998
291,0.05
292,0.61875
293,0.4375
294,0.06875
295,0.425
296,0.29375
297,0.00625
298,0.6
299,0.7625
300,0.125
301,0.20625
302,0.20625
303,0.6749999999999999
304,0.1375
305,0.33125000000000004
306,0.13125
307,0.26249999999999996
308,0.6812500000000001
309,0.43749999999999994
310,0.38749999999999996
311,0.525
312,1.2125000000000001
313,0.1875
314,0.975
315,0.1375
316,0.0
317,2.2437500000000004
318,0.07500000000000001
319,0.46874999999999994
320,0.2625
321,0.55625
322,0.325
323,1.23125
324,0.05
325,0.05625
326,0.44999999999999996
327,0.0875
328,0.1625
329,0.03125
330,0.06875
331,0.59375
332,0.11875000000000002
333,0.19375
334,0.1375
335,0.09375
336,0.35624999999999996
337,1.0
338,0.30625
339,0.15
340,0.275
341,0.36874999999999997
342,0.1625
343,0.0625
344,0.05
345,1.73125
346,1.04375
347,0.018750000000000003
348,0.00625
349,0.09375
350,0.0125
351,0.11875
352,0.11875000000000001
353,0.21875
354,0.4875
355,0.2375
356,0.0125
357,0.53125
358,0.1625
359,0.075
360,0.07500000000000001
361,0.00625
362,0.037500000000000006
363,0.28125
364,0.037500000000000006
365,0.20625
366,0.08125
367,0.43125
368,0.21875
369,0.3
370,0.056249999999999994
371,0.15625
372,0.55625
373,1.06875
374,0.8125
375,0.44375000000000003
376,0.36250000000000004
377,0.0
378,0.11875000000000001
379,0.056249999999999994
380,0.575
381,0.056249999999999994
382,0.9125000000000001
383,1.48125
384,0.3375
385,0.16875
386,0.14375000000000002
387,0.06875
388,0.31875
389,0.575
390,0.1625
391,0.24375
392,0.5249999999999999
393,0.5625
394,0.1625
395,0.06875
396,0.70625
397,0.025
398,0.19375000000000003
399,0.8624999999999999
400,0.19375
401,0.3375
402,0.0
403,0.0125
404,0.11875000000000001
405,0.44375000000000003
406,0.21250000000000002
407,1.675
408,0.025
409,0.3125
410,0.0
411,0.2875
412,0.18125
413,0.1875
414,0.06875
415,0.2875
416,0.25625
417,0.23125
418,0.049999999999999996
419,0.41250000000000003
420,0.7374999999999999
421,0.20625
422,0.75
423,0.1
424,0.0125
425,0.6124999999999999
426,0.09375
427,0.06249999999999999
428,0.11875000000000001
429,0.0
430,0.2875
431,0.6875
432,0.05
433,0.2625
434,1.1625
435,0.0625
436,0.19999999999999998
437,1.0125
438,0.21875
439,0.15
440,0.3
441,0.01875
442,1.2625
443,1.9375
444,0.01875
445,0.25625000000000003
446,0.3625
447,0.20625000000000002
448,2.1500000000000004
449,0.23125
450,0.5125
451,0.5
452,0.1375
453,1.1625
454,0.625
455,0.05625
456,0.88125
457,0.15625
458,0.025
459,0.0
460,0.825
461,0.0625
462,0.3375
463,0.25
464,0.075
465,0.05
466,0.08124999999999999
467,0.325
468,0.19999999999999998
469,0.7999999999999999
470,0.19375
471,1.0
472,0.175
473,0.18125000000000002
474,0.575
475,0.6562499999999999
476,0.18125
477,0.03125
478,0.04375
479,0.2625
480,0.0
481,0.34375
482,0.71875
483,0.125
484,0.26875
485,0.7250000000000001
486,1.10625
487,0.575
488,0.80625
489,0.775
490,0.07500000000000001
491,0.725
492,3.18125
493,0.11875
494,0.9625000000000001
495,0.41875
496,5.393750000000001
497,1.2125000000000001
498,1.5062499999999999
499,0.9
500,1.9125
501,0.36250000000000004
502,0.09375
503,0.64375
504,0.54375
505,0.21875
506,0.44999999999999996
507,0.36875
508,0.08125
509,0.1
510,1.5
511,0.18749999999999997
512,0.0875
513,0.00625
514,0.225
515,0.6625
516,0.0
517,0.45625
518,0.18125000000000002
519,0.6125
520,0.76875
521,0.07500000000000001
522,0.1625
523,0.21250000000000002
524,0.06875
525,0.0625
526,0.4
527,0.1875
528,0.28125
529,0.025
530,0.08125
531,0.8625
532,0.29375
533,0.31875000000000003
534,1.23125
535,0.6375
536,0.28125
537,0.05
538,0.14375
539,0.875
540,0.1
541,0.018750000000000003
542,5.025
543,0.35
544,0.037500000000000006
545,0.25625
546,0.9437500000000001
547,0.10625
548,0.6875
549,0.03125
550,1.0562500000000001
551,0.2
552,0.6875
553,0.36875
554,0.575
555,0.0625
556,0.175
557,0.1125
558,0.23125
559,0.11875000000000001
560,0.15625
561,0.0125
562,0.13125
563,0.056249999999999994
564,0.2
565,0.2
566,0.0
567,0.16875
568,0.23750000000000002
569,0.21250000000000002
570,0.6375
571,0.1125
572,0.125
573,0.09375
574,0.175
575,0.14375
576,0.09375
577,1.0125
578,0.3625
579,0.19374999999999998
580,4.45625
581,0.225
582,0.16874999999999998
583,0.23125
584,0.2875
585,0.12500000000000003
586,0.29999999999999993
587,0.525
588,0.85
589,0.8187500000000001
590,0.0375
591,0.05
592,0.7062499999999999
593,0.24375
594,0.075
595,0.45625000000000004
596,0.325
597,0.90625
598,0.26875
599,0.09375
600,0.275
601,0.425
602,0.14375
603,0.5812499999999999
604,0.0
605,0.6124999999999999
606,0.99375
607,0.1875
608,0.1375
609,1.0625
610,0.43125
611,2.1187500000000004
612,0.28125
613,0.55
614,0.2
615,0.05
616,0.0625
617,0.125
618,0.23125
619,0.7374999999999999
620,0.31875
621,1.0375
622,0.175
