ID,prediction
0,0.1515625
1,0.37265625
2,0.22890625
3,0.15
4,0.18671875
5,0.5148437499999999
6,0.13828125000000002
7,1.8679687500000002
8,2.09453125
9,0.27890624999999997
10,0.35
11,0.3515625
12,0.27812499999999996
13,0.21171875
14,0.31093750000000003
15,0.5656249999999999
16,0.13359374999999998
17,0.2734375
18,0.0953125
19,0.41328125
20,0.2984375
21,0.14375
22,0.33671874999999996
23,0.3
24,0.53828125
25,0.5078125
26,0.359375
27,0.21015625000000002
28,0.26015625
29,1.37421875
30,0.23671874999999998
31,0.1296875
32,0.1609375
33,0.30546875
34,0.38437499999999997
35,0.3578125
36,0.278125
37,0.4140625
38,0.475
39,0.759375
40,0.21484375
41,0.057031250000000006
42,0.33125000000000004
43,0.7164062499999999
44,0.29296875
45,0.20859375
46,0.109375
47,0.53046875
48,0.26796875
49,0.26874999999999993
50,0.6007812499999999
51,0.30781250000000004
52,0.5
53,0.13984375
54,0.7437499999999999
55,0.16484375
56,0.76640625
57,0.14609375
58,0.14375
59,0.1765625
60,0.32734374999999993
61,0.43359375
62,0.29374999999999996
63,0.07578125
64,0.1390625
65,0.18515625
66,0.37109375
67,0.11484375000000001
68,0.20468749999999997
69,0.29921875
70,1.37734375
71,1.8101562500000001
72,0.19921875
73,0.15234375
74,0.065625
75,0.24687499999999998
76,0.22031250000000002
77,0.24921875
78,0.078125
79,0.53125
80,0.16640624999999998
81,0.18125
82,0.20156250000000003
83,0.38125000000000003
84,0.73828125
85,0.13515625
86,0.9359374999999999
87,0.20703125000000003
88,0.18984375
89,0.68359375
90,0.11171874999999999
91,0.18203125
92,0.31796875
93,0.6726562500000001
94,0.11953125
95,0.103125
96,0.2359375
97,0.134375
98,0.12578125
99,1.30390625
100,0.49140624999999993
101,0.328125
102,0.18046874999999998
103,0.16328125
104,0.15468749999999998
105,0.17890625000000002
106,0.1375
107,0.37890625
108,0.22421875
109,0.31875
110,0.55546875
111,0.14765625
112,0.1703125
113,0.31640625000000006
114,1.1828125000000003
115,0.37734375
116,0.23828125
117,0.84296875
118,0.30624999999999997
119,0.23046875
120,0.61953125
121,0.55546875
